Country,Code,Year,polity,Size of Govt,Law & Prop.Rights,Sound Money,Export trade freedom,Regulations,Use of IMF credit (current USD) per capita,foreign net aid in USD per capita,GDP growth percent,GDP per capita in USD,Net secondary education enrollment,Gross tertiary education enrollment percent, Random seed
Nicaragua,NIC,1985,-1,3.36,2.59,0.00,0.84,3.21,0.00,29.17,4.61,723.55,16.66,8.23,0.24
Burundi,BDI,2011,6,3.81,3.06,7.16,5.00,7.02,24.59,58.72,3.47,240.61,16.78,3.00,0.11
Mozambique,MOZ,2011,5,6.22,4.20,6.13,6.48,6.11,14.18,83.34,6.35,524.89,17.25,4.85,0.28
Senegal,SEN,2005,8,6.55,3.82,7.11,6.39,5.82,16.27,61.94,6.68,772.65,17.65,5.64,0.42
Mozambique,MOZ,2012,5,6.56,4.11,6.35,6.61,6.35,13.71,81.49,6.69,564.81,17.73,5.15,0.09
Burundi,BDI,2012,6,4.24,3.22,7.03,5.00,6.56,24.56,51.63,3.79,244.20,18.28,3.72,0.90
Mozambique,MOZ,2013,4,6.53,3.95,6.43,6.65,5.80,13.25,87.43,7.12,605.23,18.35,5.19,0.07
Burkina Faso,BFA,2011,0,5.05,4.26,6.86,5.98,7.60,14.46,61.78,2.96,665.81,18.45,4.15,0.54
Uganda,UGA,2007,-1,7.58,4.70,9.17,7.06,8.09,1.87,57.93,6.33,409.87,18.56,,0.75
Benin,BEN,2001,6,6.57,4.42,6.60,5.36,6.00,12.35,38.73,5.34,373.55,18.65,4.46,0.92
Indonesia,IDN,1975,-7,6.48,3.66,6.57,4.47,3.31,0.00,5.25,9.78,245.92,18.65,2.61,0.37
Burkina Faso,BFA,2012,0,5.10,3.98,6.70,6.00,7.37,18.16,69.83,8.45,673.03,19.74,4.56,0.59
Uganda,UGA,2008,-1,7.73,4.68,8.79,7.06,8.27,1.76,52.93,10.78,459.11,20.74,3.76,0.56
Senegal,SEN,2006,8,6.82,3.99,6.98,6.53,5.79,5.43,74.71,5.87,808.29,20.84,5.79,0.66
Burundi,BDI,2013,6,4.36,3.41,7.94,5.94,7.58,24.29,52.19,4.19,259.37,21.21,4.49,0.32
Uganda,UGA,2009,-1,7.45,4.86,8.40,7.16,8.28,8.75,55.66,8.41,557.52,21.45,4.18,0.48
Madagascar,MDG,2007,7,8.11,3.94,7.29,6.45,5.27,3.78,46.16,4.60,379.07,21.52,3.34,0.08
Mauritania,MRT,2013,-2,4.95,4.23,6.88,6.13,6.75,58.35,75.22,4.39,1306.01,21.62,5.42,0.81
Burkina Faso,BFA,2013,0,5.69,3.93,6.98,6.46,7.45,17.79,60.88,6.52,708.84,21.67,4.78,0.30
Botswana,BWA,1985,6,3.78,6.31,5.46,5.88,6.86,0.00,80.83,13.15,942.38,21.78,1.83,0.41
Tunisia,TUN,1980,-9,4.19,4.92,6.18,3.59,4.70,0.00,37.67,6.44,1369.53,21.84,4.95,0.50
Mauritania,MRT,2012,-2,5.75,4.49,6.85,6.20,7.13,55.98,108.10,4.77,1282.79,21.98,5.14,0.48
Uganda,UGA,2010,-1,7.66,5.05,8.71,7.17,8.06,8.31,51.99,8.71,608.81,22.26,3.92,0.15
Madagascar,MDG,2008,7,7.68,3.56,7.67,6.34,5.31,6.47,42.28,5.02,472.38,23.04,3.24,0.97
Malawi,MWI,2005,6,6.44,5.01,3.19,5.57,6.28,7.13,44.98,5.50,216.11,23.20,0.49,0.56
Malawi,MWI,2004,6,7.87,4.75,3.55,6.01,5.58,8.83,40.75,1.70,211.57,24.25,0.50,0.74
Malawi,MWI,2006,6,6.43,5.66,3.38,5.70,6.40,2.74,55.12,4.85,237.70,24.29,0.52,0.48
Malawi,MWI,2007,6,5.37,5.54,5.60,5.77,6.80,3.58,55.11,2.84,270.24,24.30,0.51,0.34
Lesotho,LSO,2006,8,4.82,4.38,7.91,5.89,7.30,21.62,36.40,2.29,736.39,25.29,3.88,0.75
Lesotho,LSO,2005,8,4.63,4.65,8.08,5.99,6.89,20.96,35.04,4.69,710.52,25.40,3.67,0.05
Malawi,MWI,2008,6,6.15,5.50,5.64,6.18,7.05,10.18,66.43,2.06,307.58,26.25,,0.12
Lesotho,LSO,2007,8,4.35,4.37,7.91,5.89,7.39,21.12,65.86,2.70,816.85,26.33,,0.71
Malawi,MWI,2009,6,6.37,5.64,5.72,6.17,7.08,16.12,53.83,9.49,351.08,26.65,,0.44
Guatemala,GTM,2000,8,8.53,3.16,7.64,7.37,6.15,3.09,22.51,4.99,1650.37,26.94,,0.17
Malawi,MWI,2002,4,5.54,5.06,3.88,6.57,5.82,9.29,32.08,1.58,226.08,27.16,0.41,0.09
Lesotho,LSO,2008,8,5.68,4.55,7.40,5.91,7.35,17.95,72.91,4.31,826.83,27.91,,0.28
Malawi,MWI,2010,6,6.90,5.47,5.73,6.26,6.93,16.81,69.25,8.34,365.52,27.99,0.72,0.82
Malawi,MWI,2001,4,5.27,5.80,4.01,5.58,5.80,7.53,35.63,3.04,149.37,28.32,0.37,0.82
Malawi,MWI,2011,6,5.80,5.18,7.35,6.36,6.87,16.20,52.52,9.04,369.60,28.98,0.81,0.90
Malawi,MWI,2012,6,5.39,5.03,6.60,6.02,6.73,18.02,74.81,6.53,270.09,29.53,,0.01
Lesotho,LSO,2009,8,4.90,4.60,7.65,6.12,7.35,38.02,61.49,4.73,859.83,29.81,,0.05
Madagascar,MDG,2011,3,8.27,3.00,7.89,5.93,6.16,12.61,20.45,-4.01,456.33,29.81,4.01,0.56
Mali,MLI,2008,7,5.80,4.71,6.28,6.31,6.39,4.54,67.78,5.25,614.32,29.86,5.70,0.20
Pakistan,PAK,2006,-5,7.99,4.44,6.08,6.17,6.55,10.98,13.93,7.37,876.95,30.40,4.78,0.04
Madagascar,MDG,2013,3,8.75,3.27,8.05,6.91,6.58,11.18,21.80,1.45,462.97,30.41,4.25,0.32
Guatemala,GTM,2001,8,8.41,2.64,9.03,7.69,5.59,2.90,19.56,3.85,1561.60,30.48,,0.86
Madagascar,MDG,2012,3,9.05,3.21,8.04,6.04,6.29,11.96,16.99,0.26,444.96,30.93,4.09,0.62
Guatemala,GTM,2002,8,8.52,2.76,9.06,7.65,6.27,3.07,20.33,3.61,1692.96,31.00,9.46,0.62
Mali,MLI,2009,7,5.78,4.57,6.76,6.33,6.53,12.52,67.06,4.30,610.05,31.09,6.30,0.66
Botswana,BWA,1990,7,4.74,6.28,5.84,6.63,6.12,0.00,105.25,19.45,2747.21,31.16,,0.76
Malawi,MWI,2013,6,5.69,5.04,5.94,5.86,6.83,18.24,69.54,4.35,239.87,31.18,,0.93
Malawi,MWI,2000,6,5.33,5.53,2.88,5.10,5.73,8.65,39.86,3.90,155.76,31.42,0.33,0.82
Namibia,NAM,1995,6,4.77,7.83,6.03,5.29,6.91,0.00,115.08,-1.58,2383.29,31.88,6.85,0.41
Lesotho,LSO,2010,8,4.92,4.48,7.84,6.18,7.47,39.20,127.44,5.73,1087.98,32.36,,0.14
Timor-Leste,TLS,2008,7,7.45,4.73,7.55,6.90,6.36,0.00,269.29,-5.71,673.37,32.44,,0.25
Tunisia,TUN,1985,-8,3.86,3.52,6.50,3.59,4.96,0.00,22.10,4.68,1158.37,32.64,5.30,0.84
Malaysia,MYS,1970,1,5.87,5.84,7.12,6.49,6.60,0.00,2.42,7.98,354.23,32.73,,0.63
Pakistan,PAK,2007,2,7.84,4.13,6.26,6.23,6.55,10.33,14.21,7.67,953.80,32.74,5.39,0.31
Swaziland,SWZ,2010,-9,6.06,5.02,7.89,6.69,7.80,62.32,76.65,2.37,2956.70,32.82,,0.37
Lesotho,LSO,2011,8,5.10,4.54,8.02,6.10,7.55,39.50,130.21,3.36,1241.21,32.98,,0.37
Ghana,GHA,2001,6,6.71,4.31,5.62,6.09,6.15,18.80,33.20,4.40,275.47,33.01,,0.07
Pakistan,PAK,2008,5,8.18,3.93,5.67,6.13,6.20,28.29,9.50,6.18,1042.80,33.06,5.37,0.35
Mali,MLI,2010,7,5.78,4.49,6.86,6.46,6.24,12.31,71.77,4.98,610.79,33.13,6.51,0.60
Pakistan,PAK,2009,5,8.65,3.94,5.98,6.31,6.42,54.32,16.63,4.83,1009.80,33.17,6.64,0.56
Kenya,KEN,2000,-2,7.09,3.92,8.76,7.08,6.75,5.63,16.50,3.29,408.98,33.34,2.75,0.46
Lesotho,LSO,2012,8,4.75,4.78,7.92,6.14,7.69,55.97,137.40,7.89,1158.80,33.37,10.83,0.69
Lesotho,LSO,2013,8,4.82,5.29,7.93,5.95,7.80,62.50,153.62,4.05,1064.83,34.07,10.15,0.89
Costa Rica,CRI,1985,10,5.21,5.25,5.41,4.00,6.79,69.05,102.30,2.86,1756.86,34.11,21.44,0.13
Kenya,KEN,2001,-2,7.44,3.92,8.95,6.93,6.75,4.56,14.79,2.31,407.55,34.17,2.82,0.26
Mali,MLI,2011,7,6.68,4.44,6.61,6.40,6.46,14.69,81.89,4.46,680.83,34.49,6.86,0.76
Nicaragua,NIC,2000,8,6.81,4.06,8.66,7.59,6.53,38.57,111.48,3.71,1016.02,34.50,,0.57
Pakistan,PAK,2011,6,8.50,4.22,6.23,6.30,6.47,57.36,20.20,2.83,1230.82,34.53,8.31,0.67
Kenya,KEN,2002,8,7.41,3.51,9.17,6.82,6.76,4.23,12.02,0.60,402.17,34.68,2.82,0.23
Ghana,GHA,2000,2,6.09,4.59,5.82,6.02,5.80,19.90,31.78,4.70,264.70,34.68,,0.50
Ghana,GHA,2002,6,6.01,4.54,7.41,6.63,6.39,22.69,34.68,3.70,311.62,34.71,,0.88
Swaziland,SWZ,2011,-9,7.04,4.80,7.84,6.71,7.78,61.14,103.01,1.25,4093.38,34.92,5.96,0.25
Zimbabwe,ZWE,2003,-4,6.28,3.41,1.25,3.04,4.87,24.79,14.64,1.44,448.37,35.40,,0.23
Swaziland,SWZ,2012,-9,6.70,4.91,7.65,6.78,7.57,60.25,71.57,1.68,3988.67,35.43,,0.39
Timor-Leste,TLS,2010,7,7.90,4.48,8.99,6.77,6.29,0.00,273.35,14.20,875.84,35.52,17.74,0.71
Mali,MLI,2013,5,7.20,4.07,6.84,6.89,6.47,16.67,83.85,2.72,659.52,35.60,,0.76
Ghana,GHA,2003,6,7.01,5.15,6.55,7.16,6.57,26.92,48.43,4.00,375.88,35.74,,0.76
Pakistan,PAK,2012,6,8.42,4.10,6.02,6.37,6.42,43.31,11.38,1.61,1266.38,36.15,9.53,0.05
Kenya,KEN,2003,8,7.47,4.86,8.72,7.08,6.77,4.99,15.59,3.78,444.23,36.31,,0.29
Nicaragua,NIC,2001,8,6.75,3.18,8.53,8.05,6.08,35.68,182.51,7.04,1043.60,36.39,,0.28
Timor-Leste,TLS,2009,7,7.58,4.66,7.71,6.86,6.34,0.00,206.45,11.45,780.26,36.54,16.46,0.17
Costa Rica,CRI,1990,10,7.20,5.46,8.41,6.88,6.94,3.65,73.31,3.82,2391.30,37.18,26.40,0.12
Timor-Leste,TLS,2011,7,4.50,3.75,8.85,7.39,7.57,0.00,249.25,12.96,1015.72,37.71,,0.23
Unit. Arab Em.,ARE,1980,-8,5.19,2.06,7.93,10.00,5.28,0.00,4.01,-1.59,42878.85,37.75,1.60,0.90
Pakistan,PAK,2013,7,8.37,4.17,6.04,6.38,6.44,28.22,12.00,2.75,1275.36,37.85,9.82,0.62
Sierra Leone,SLE,2012,7,7.33,4.32,7.14,6.81,5.78,45.34,73.28,5.35,618.95,37.90,,0.65
Syria,SYR,1995,-9,4.57,5.23,6.59,2.36,2.82,0.00,24.84,5.18,795.20,38.24,14.68,0.01
Nicaragua,NIC,2002,8,7.56,3.34,8.99,7.90,6.61,38.85,100.00,4.10,1010.15,38.59,17.04,0.24
Ghana,GHA,2004,8,6.50,5.19,7.22,6.76,7.07,27.17,68.07,4.50,426.16,38.65,,0.06
Cameroon,CMR,2012,-4,8.00,3.91,6.97,6.09,6.92,20.32,27.53,3.27,1222.19,38.73,,0.71
Zimbabwe,ZWE,2002,-4,6.04,3.21,1.25,2.93,4.85,23.17,15.67,-3.06,499.72,39.07,,0.13
Kenya,KEN,2004,8,7.48,4.52,8.60,6.41,6.95,4.65,19.17,0.55,467.38,39.16,2.92,0.26
Syria,SYR,2000,-7,3.75,5.44,6.46,5.22,4.80,2.91,9.72,6.34,1181.72,39.43,,0.39
Morocco,MAR,2005,-6,6.71,6.17,7.10,6.26,5.84,4.03,24.10,6.32,1931.76,39.54,11.60,0.57
Dominican Rep.,DOM,2000,8,8.88,4.62,6.82,6.33,7.08,10.85,6.54,7.01,2802.42,39.78,,0.27
Guatemala,GTM,2008,8,7.11,4.23,8.93,8.30,6.61,3.02,38.00,5.38,2774.32,39.85,,0.81
"Yemen, Rep.",YEM,2010,-2,6.60,4.21,7.75,6.97,6.13,18.46,28.15,4.01,1310.05,39.92,10.87,0.56
Ghana,GHA,2005,8,6.49,4.88,7.38,5.79,7.56,23.70,53.80,5.20,501.72,39.97,5.71,0.92
Cameroon,CMR,2013,-4,8.00,4.06,6.97,5.98,6.68,19.69,33.20,4.14,1331.20,40.09,,0.56
Zimbabwe,ZWE,2000,-3,5.85,5.02,2.89,3.18,5.93,23.52,14.05,2.89,535.20,40.11,,0.83
Botswana,BWA,1995,7,4.29,7.23,7.85,6.26,6.37,0.00,56.80,1.92,3001.10,40.27,5.06,0.51
Nicaragua,NIC,2004,8,7.73,3.51,8.81,7.44,7.07,52.35,233.58,0.75,1091.51,40.85,,0.61
Zimbabwe,ZWE,2001,-4,6.08,2.59,1.70,3.07,4.74,21.80,12.77,-0.82,537.72,40.93,,0.83
Kenya,KEN,2005,8,8.57,4.51,8.62,6.63,7.67,5.99,21.48,2.93,530.08,41.00,2.97,0.27
Syria,SYR,2001,-7,3.65,5.44,7.86,5.06,4.99,2.75,9.16,-3.55,1263.89,41.10,,0.30
Ghana,GHA,2006,8,6.68,6.18,8.21,6.33,7.22,11.54,56.63,5.60,929.73,41.16,5.12,0.37
Syria,SYR,2002,-7,4.88,4.88,7.86,3.49,5.89,2.92,3.69,2.74,1269.73,41.21,12.38,0.13
Argentina,ARG,1975,6,5.63,1.58,2.50,0.90,5.14,0.00,1.01,2.81,2011.69,41.70,26.58,0.10
Guatemala,GTM,2009,8,8.00,3.98,9.40,8.29,6.46,21.85,26.05,6.30,2617.11,41.85,,1.00
Morocco,MAR,2006,-6,6.68,5.47,6.95,6.26,5.94,4.20,35.91,4.80,2107.90,41.92,12.19,0.29
Benin,BEN,2013,7,6.17,4.22,7.06,5.77,7.05,21.84,63.22,2.96,882.64,42.03,,0.35
Bangladesh,BGD,2005,6,8.62,2.96,6.65,5.77,6.42,2.63,9.23,4.74,485.85,42.13,6.22,0.13
Kenya,KEN,2006,8,8.10,4.64,8.49,6.72,7.40,5.76,26.09,5.10,711.72,42.21,,0.77
"Yemen, Rep.",YEM,2012,3,7.14,3.83,7.74,6.77,6.20,20.25,28.51,3.32,1289.03,42.29,,0.62
Syria,SYR,1980,-9,3.84,1.76,8.18,2.30,2.75,0.00,213.58,8.73,1458.49,42.39,13.81,0.28
Nicaragua,NIC,2005,8,7.87,4.29,8.85,7.64,7.32,42.50,141.91,2.52,1175.12,42.40,,0.02
Indonesia,IDN,1995,-7,7.96,3.55,9.09,5.88,5.79,0.00,6.61,7.25,1026.27,42.48,11.50,0.38
Namibia,NAM,2000,6,5.14,8.15,6.07,4.36,7.43,0.00,80.26,3.29,2059.41,42.75,,0.20
Bangladesh,BGD,2006,6,8.87,3.15,6.60,6.10,6.54,3.78,8.43,5.24,495.85,42.78,7.10,0.06
Costa Rica,CRI,1995,10,6.81,6.46,7.87,8.42,7.10,6.91,8.45,7.41,3338.82,42.97,,0.21
Nicaragua,NIC,2006,8,8.07,4.32,8.67,7.77,7.68,16.91,135.81,5.31,1245.14,43.25,,0.61
Hong Kong,HKG,1975,5,9.17,6.60,9.16,9.92,7.25,0.00,-0.26,12.28,2252.11,43.42,8.89,0.15
Bangladesh,BGD,2004,6,8.04,2.30,6.74,5.91,5.85,2.16,10.04,3.83,462.27,43.43,5.68,0.30
Bangladesh,BGD,2007,-6,8.86,3.10,6.38,6.08,6.59,3.92,10.34,6.54,543.08,43.60,7.66,0.54
Turkey,TUR,1990,9,5.82,4.48,3.87,4.71,5.28,0.00,24.15,2.32,2790.58,43.69,13.17,0.74
Zimbabwe,ZWE,2012,1,6.82,4.09,5.38,5.04,3.90,35.71,68.74,11.38,850.83,43.84,5.94,0.63
El Salvador,SLV,2000,7,8.67,4.51,9.42,8.55,7.31,5.60,30.91,3.75,2259.89,44.21,20.66,0.70
Mexico,MEX,1990,0,7.96,6.76,3.59,7.63,5.33,76.53,1.83,1.25,3068.70,44.25,14.80,0.14
Kenya,KEN,2007,7,7.82,4.73,8.90,6.81,7.59,8.79,35.62,5.91,857.93,44.32,,0.08
Namibia,NAM,2001,6,5.07,7.88,6.10,5.85,7.18,0.00,58.07,3.37,1836.76,44.56,7.03,0.22
Bangladesh,BGD,2000,6,8.07,3.23,7.02,5.69,6.06,2.11,8.93,5.18,406.53,44.61,5.43,0.19
Bangladesh,BGD,2009,5,9.09,3.60,6.74,5.93,6.80,9.84,8.18,7.06,683.61,44.65,10.47,0.52
Morocco,MAR,2007,-6,6.79,6.10,6.84,6.25,5.90,4.37,39.38,2.98,2510.98,44.68,11.77,0.67
El Salvador,SLV,2001,7,8.69,4.38,9.57,8.36,6.72,5.37,40.64,3.45,2363.27,45.33,19.75,0.60
Nicaragua,NIC,2010,9,8.39,4.53,8.29,7.82,7.26,62.60,115.43,2.85,1523.48,45.44,,0.73
Ghana,GHA,2009,8,7.15,5.45,8.16,6.91,6.84,34.84,66.71,4.35,1095.50,45.69,8.79,0.50
Bangladesh,BGD,2011,5,9.07,3.56,6.49,6.05,6.90,8.28,9.71,5.05,838.55,45.82,13.15,0.19
Bangladesh,BGD,2001,6,8.07,2.96,6.97,5.99,5.55,1.55,7.80,4.67,403.59,45.83,6.41,0.71
Bangladesh,BGD,2010,5,9.09,3.61,6.48,6.04,6.94,9.25,9.33,6.01,760.33,46.04,,0.76
Guatemala,GTM,2010,8,8.50,3.93,9.37,8.15,6.60,21.00,26.71,3.28,2805.95,46.22,,0.03
Guatemala,GTM,2011,8,8.50,4.13,9.30,8.16,6.57,20.50,25.78,0.53,3166.58,46.43,,0.79
Nepal,NPL,2007,6,8.36,3.78,6.84,6.53,6.14,3.52,23.15,3.48,396.17,46.61,10.40,0.10
Bangladesh,BGD,2003,6,8.10,2.31,6.89,6.12,5.82,1.04,10.06,5.08,434.05,46.67,6.16,0.88
Morocco,MAR,2008,-6,6.73,6.05,6.72,6.47,5.94,4.21,46.29,7.76,2905.95,46.79,12.85,0.16
Guatemala,GTM,2012,8,7.75,4.37,9.39,8.19,6.74,20.09,19.48,2.87,3278.63,46.87,,0.76
Guatemala,GTM,2013,8,8.52,4.40,9.48,8.06,6.77,19.72,31.49,4.16,3432.02,46.88,18.74,0.85
Bangladesh,BGD,2002,6,8.07,2.89,6.93,6.08,5.93,0.99,6.65,5.29,401.71,46.91,6.11,0.26
Ghana,GHA,2008,8,6.70,5.34,8.39,6.97,6.42,11.22,56.54,6.40,1234.08,47.04,8.43,0.33
Ghana,GHA,2007,8,6.69,5.61,8.24,7.24,6.62,11.81,51.72,5.90,1099.02,47.15,6.35,0.85
Namibia,NAM,2003,6,5.58,7.59,6.13,6.73,7.58,0.00,73.80,1.18,2489.89,47.21,6.16,0.50
Bangladesh,BGD,2012,5,8.84,3.23,6.72,6.05,6.79,7.81,13.86,5.57,858.93,47.75,13.23,0.36
Mexico,MEX,1995,4,7.47,5.30,5.50,7.72,6.33,167.62,4.07,4.06,3640.83,47.85,13.81,0.35
Namibia,NAM,2004,6,5.65,6.76,6.26,6.22,7.58,0.00,86.44,4.79,3298.90,48.35,,0.04
El Salvador,SLV,2002,7,8.73,4.25,9.55,8.19,6.29,5.78,39.71,2.15,2435.47,48.60,20.29,0.52
Honduras,HND,2013,7,8.82,4.07,9.39,7.43,6.65,25.90,79.96,3.84,2356.52,48.63,21.14,1.00
Ecuador,ECU,2000,6,8.93,3.30,4.90,7.32,4.35,15.09,11.57,3.27,1451.29,48.63,,0.21
Dominican Rep.,DOM,2004,8,8.09,3.71,3.68,7.01,6.45,27.80,9.29,5.79,2421.09,48.83,,0.70
Ecuador,ECU,2001,6,8.99,2.50,4.78,7.41,4.26,18.00,14.28,-4.74,1903.74,49.22,,0.09
Kenya,KEN,2008,7,7.77,4.40,7.68,6.78,7.39,8.07,35.72,6.47,938.57,49.52,,0.45
Dominican Rep.,DOM,2002,8,7.57,4.10,8.17,7.30,6.45,7.92,16.41,5.66,3008.47,49.78,,0.21
Namibia,NAM,2005,6,6.21,6.59,6.48,6.29,7.69,0.00,61.73,4.24,3582.26,49.96,6.87,0.94
Kenya,KEN,2009,7,7.66,4.38,8.65,6.88,7.36,21.84,45.23,6.85,942.74,49.98,4.05,0.27
Nepal,NPL,2008,6,8.20,3.86,6.36,6.38,6.14,3.39,26.46,3.36,476.56,50.01,11.31,0.83
"Korea, South",KOR,1975,-8,6.60,4.86,4.56,5.84,4.58,0.00,7.03,14.79,646.17,50.10,7.73,0.49
Namibia,NAM,2002,6,5.57,7.26,6.31,6.57,7.50,0.00,72.75,3.49,1716.90,50.19,5.80,0.02
Namibia,NAM,2006,6,6.17,6.42,6.36,6.03,7.76,0.00,73.87,12.27,3884.65,50.21,6.56,0.93
Indonesia,IDN,2001,6,7.53,2.89,6.04,7.23,4.68,43.90,6.83,0.79,748.18,50.24,14.36,0.93
Ecuador,ECU,2003,6,9.00,3.56,5.82,7.17,6.00,33.02,13.16,4.02,2440.47,50.29,,0.58
Morocco,MAR,2010,-6,6.50,5.97,7.07,6.79,6.15,26.93,30.91,5.92,2857.67,50.35,14.32,0.56
