Country,Code,Year,dummy,Law Prop.Rights,Sound Money,polity,prev Law,prev Money,prev polity,prev GDP,GDP per capita in USD
Saudi Arabia,SAU,2013,,7.17,7.87,-10,7.35,7.7,-10,24883.19,24646.02
Bahrain,BHR,2013,,6.28,8.71,-10,6.3,8.61,-10,23063.13,24378.94
Saudi Arabia,SAU,2011,,7.55,7.76,-10,7.66,7.84,-10,18753.98,23256.1
Bahrain,BHR,2012,,6.3,8.61,-10,6.81,8.55,-8,22238.71,23063.13
Bahrain,BHR,1990,,5.7,8.79,-10,5.72,8.61,-10,8706.83,8528.76
Oman,OMN,1990,,5.21,7.67,-10,5.85,9.45,-10,6677.48,6448.13
Bahrain,BHR,2000,,6.54,9.12,-9,6.6,9.43,-9,10376.36,13590.52
Bahrain,BHR,1995,,6.6,9.43,-9,5.7,8.79,-10,8528.76,10376.36
Oman,OMN,2000,,8.03,8.31,-9,7.72,9.15,-9,6297.2,8710.99
Oman,OMN,2001,,8.03,8.54,-9,8.03,8.31,-9,8710.99,8559.57
Oman,OMN,1995,,7.72,9.15,-9,5.21,7.67,-10,6448.13,6297.2
Swaziland,SWZ,2011,,4.8,7.84,-9,5.02,7.89,-9,2956.7,4093.38
Gabon,GAB,1985,,4.46,6.2,-9,3.94,4.09,-9,5869.23,4023.55
Swaziland,SWZ,2012,,4.91,7.65,-9,4.8,7.84,-9,4093.38,3988.67
Swaziland,SWZ,2013,,4.97,7.87,-9,4.91,7.65,-9,3988.67,3648.07
Argentina,ARG,1980,,4.2,2.5,-9,1.58,2.5,6,2011.69,2738.28
Jordan,JOR,1985,,3.52,7.74,-9,2.32,6.82,-10,1792.62,1888.62
Syria,SYR,1985,,3.05,6.1,-9,1.76,8.18,-9,1458.49,1537.75
Tunisia,TUN,1980,,4.92,6.18,-9,3.33,6.05,-9,771.51,1369.53
Syria,SYR,1990,,3.02,5.58,-9,3.05,6.1,-9,1537.75,988.52
Syria,SYR,1995,,5.23,6.59,-9,3.02,5.58,-9,988.52,795.2
Tunisia,TUN,1975,,3.33,6.05,-9,3.76,6.88,-8,280.72,771.51
Philippines,PHL,1980,,3.06,6.1,-9,3.87,5.59,-9,360.67,684.65
Zambia,ZMB,1990,,3.7,0.59,-9,3.99,3.33,-9,320.99,403.82
Zambia,ZMB,1985,,3.99,3.33,-9,6.09,6.26,-9,655.12,320.99
"Congo, Dem. R.",COD,1985,,2.46,1.49,-9,2.37,1.1,-9,546.14,239.95
Malawi,MWI,1990,,4.48,5.59,-9,3.99,6.55,-9,157.01,199.89
Malawi,MWI,1985,,3.99,6.55,-9,3.62,6.05,-9,200.81,157.01
Unit. Arab Em.,ARE,2008,,7.59,8.25,-8,7.47,7.92,-8,42913.78,45720.02
Unit. Arab Em.,ARE,2006,,7.36,8.13,-8,7.27,7.6,-8,40298.52,42950.1
Unit. Arab Em.,ARE,2007,,7.47,7.92,-8,7.36,8.13,-8,42950.1,42913.78
Unit. Arab Em.,ARE,2013,,7.75,8.64,-8,7.65,8.64,-8,41712.12,42831.09
Unit. Arab Em.,ARE,2012,,7.65,8.64,-8,7.51,8.62,-8,39901.22,41712.12
Unit. Arab Em.,ARE,2005,,7.27,7.6,-8,6.44,7.8,-8,37179.68,40298.52
Unit. Arab Em.,ARE,2011,,7.51,8.62,-8,7.27,8.32,-8,34341.91,39901.22
Unit. Arab Em.,ARE,2004,,6.44,7.8,-8,6.9,8.11,-8,34294.89,37179.68
Unit. Arab Em.,ARE,2010,,7.27,8.32,-8,7.35,8.13,-8,32905.05,34341.91
Unit. Arab Em.,ARE,2003,,6.9,8.11,-8,6.84,8.09,-8,32355.41,34294.89
Unit. Arab Em.,ARE,2000,,7.52,7.75,-8,5.79,9.44,-8,27989.3,34207.54
Unit. Arab Em.,ARE,2009,,7.35,8.13,-8,7.59,8.25,-8,45720.02,32905.05
Unit. Arab Em.,ARE,2002,,6.84,8.09,-8,7.52,7.95,-8,32105.65,32355.41
Unit. Arab Em.,ARE,2001,,7.52,7.95,-8,7.52,7.75,-8,34207.54,32105.65
Unit. Arab Em.,ARE,1985,,5.85,9.12,-8,2.06,7.93,-8,42878.85,30067.13
Unit. Arab Em.,ARE,1990,,5.79,9.44,-8,5.85,9.12,-8,30067.13,27989.3
Oman,OMN,2008,,7.64,7.86,-8,7.5,8.44,-8,16225.66,22963.38
Bahrain,BHR,2011,,6.81,8.55,-8,7,8.39,-5,20386.02,22238.71
Oman,OMN,2012,,7.62,7.56,-8,7.5,7.59,-8,21164.34,21533.81
Oman,OMN,2011,,7.5,7.59,-8,7.58,7.29,-8,19920.65,21164.34
Oman,OMN,2013,,7.35,7.95,-8,7.62,7.56,-8,21533.81,20011.35
Oman,OMN,2010,,7.58,7.29,-8,7.64,7.34,-8,17518.83,19920.65
Oman,OMN,2009,,7.64,7.34,-8,7.64,7.86,-8,22963.38,17518.83
Oman,OMN,2007,,7.5,8.44,-8,6.5,8.79,-8,14575.16,16225.66
Oman,OMN,2006,,6.5,8.79,-8,7.46,8.68,-8,12398.59,14575.16
Bahrain,BHR,2001,,6.54,8.8,-8,6.54,9.12,-9,13590.52,12917.4
Oman,OMN,2005,,7.46,8.68,-8,7.56,8.6,-8,10115.04,12398.59
Oman,OMN,2004,,7.56,8.6,-8,7.56,8.63,-8,9070.49,10115.04
Oman,OMN,2003,,7.56,8.63,-8,7.31,8.35,-8,8670.26,9070.49
Oman,OMN,2002,,7.31,8.35,-8,8.03,8.54,-9,8559.57,8670.26
"Korea, South",KOR,1980,,6.52,5.29,-8,4.86,4.56,-8,646.17,1778.48
"Congo, Rep. Of",COG,1990,,3.02,5.96,-8,3.05,6.42,-8,1037.06,1172.76
Tunisia,TUN,1985,,3.52,6.5,-8,4.92,6.18,-9,1369.53,1158.37
Morocco,MAR,1990,,3.99,6.5,-8,3.99,6.81,-8,627.53,1145.92
"Congo, Rep. Of",COG,1985,,3.05,6.42,-8,4.67,5.45,-8,946.78,1037.06
Cameroon,CMR,1990,,5.79,7.01,-8,5.85,6.67,-8,784.91,923.88
Cameroon,CMR,1985,,5.85,6.67,-8,5.78,5.66,-8,754.66,784.91
Morocco,MAR,1985,,3.99,6.81,-8,2.24,6.26,-8,1042.36,627.53
"Congo, Dem. R.",COD,1990,,2.44,0,-8,2.46,1.49,-9,239.95,267.42
Kuwait,KWT,2008,,7.12,8.49,-7,7.35,8.49,-7,45159.34,54484.3
Kuwait,KWT,2012,,7,7.89,-7,7.01,7.94,-7,47551.38,50903.9
Kuwait,KWT,2013,,6.68,9.4,-7,7,7.89,-7,50903.9,48463.15
Kuwait,KWT,2011,,7.01,7.94,-7,7.1,8.07,-7,37725.14,47551.38
Kuwait,KWT,2007,,7.35,8.49,-7,7.45,8.44,-7,42498.74,45159.34
Kuwait,KWT,2006,,7.45,8.44,-7,7.3,7.84,-7,35694.38,42498.74
Kuwait,KWT,2010,,7.1,8.07,-7,7.18,7.87,-7,36754.95,37725.14
Kuwait,KWT,2009,,7.18,7.87,-7,7.12,8.49,-7,54484.3,36754.95
Kuwait,KWT,2005,,7.3,7.84,-7,6.79,8.09,-7,27437.98,35694.38
Kuwait,KWT,2004,,6.79,8.09,-7,7.36,8.18,-7,22841.6,27437.98
Bahrain,BHR,2008,,6.82,9.09,-7,6.74,9.12,-7,21167.62,23043.03
Kuwait,KWT,2003,,7.36,8.18,-7,7.31,7.74,-7,18674.6,22841.6
Bahrain,BHR,2007,,6.74,9.12,-7,6.48,9.1,-7,19669.32,21167.62
Bahrain,BHR,2006,,6.48,9.1,-7,5.76,8.82,-7,18418.07,19669.32
Kuwait,KWT,2000,,8.06,8.09,-7,7.42,8.89,-7,16610.37,19545.19
Bahrain,BHR,2009,,6.76,8.26,-7,6.82,9.09,-7,23043.03,19166.71
Kuwait,KWT,2002,,7.31,7.74,-7,8.06,8.2,-7,17532.86,18674.6
Bahrain,BHR,2005,,5.76,8.82,-7,5.46,8.72,-7,16275.18,18418.07
Kuwait,KWT,2001,,8.06,8.2,-7,8.06,8.09,-7,19545.19,17532.86
Kuwait,KWT,1995,,7.42,8.89,-7,2.73,7.51,-66,8950.6,16610.37
Bahrain,BHR,2004,,5.46,8.72,-7,6,8.78,-7,14541.62,16275.18
Bahrain,BHR,2003,,6,8.78,-7,7.41,8.77,-7,13279.05,14541.62
Bahrain,BHR,2002,,7.41,8.77,-7,6.54,8.8,-8,12917.4,13279.05
Iran,IRN,2011,,5.85,7.56,-7,5.78,8.68,-7,6299.92,7874.48
Azerbaijan,AZE,2013,,5.94,6.77,-7,6.18,6.86,-7,7393.77,7811.62
Iran,IRN,2012,,5.55,6.47,-7,5.85,7.56,-7,7874.48,7710.51
Azerbaijan,AZE,2012,,6.18,6.86,-7,6.05,6.45,-7,7189.69,7393.77
Azerbaijan,AZE,2011,,6.05,6.45,-7,5.97,6.25,-7,5842.81,7189.69
China,CHN,2013,,5.86,8.26,-7,6,8.03,-7,6264.64,6991.85
Iran,IRN,2013,,5.21,7,-7,5.55,6.47,-7,7710.51,6631.3
Iran,IRN,2010,,5.78,8.68,-7,5.73,8.18,-7,5437.82,6299.92
China,CHN,2012,,6,8.03,-7,6.04,7.9,-7,5574.19,6264.64
Azerbaijan,AZE,2010,,5.97,6.25,-7,5.94,6.58,-7,4950.29,5842.81
Azerbaijan,AZE,2008,,6.4,6.3,-7,6.38,6.71,-7,3851.44,5574.6
China,CHN,2011,,6.04,7.9,-7,6.25,7.89,-7,4514.94,5574.19
Iran,IRN,2009,,5.73,8.18,-7,6.12,7.88,-6,5476.16,5437.82
Azerbaijan,AZE,2009,,5.94,6.58,-7,6.4,6.3,-7,5574.6,4950.29
China,CHN,2010,,6.25,7.89,-7,6.41,8.05,-7,3800.47,4514.94
Azerbaijan,AZE,2007,,6.38,6.71,-7,5.81,7.59,-7,2473.09,3851.44
China,CHN,2009,,6.41,8.05,-7,6.45,8.13,-7,3441.22,3800.47
China,CHN,2008,,6.45,8.13,-7,6.31,8.08,-7,2673.29,3441.22
China,CHN,2007,,6.31,8.08,-7,5.85,8.22,-7,2082.18,2673.29
Azerbaijan,AZE,2006,,5.81,7.59,-7,5.87,7.25,-7,1578.37,2473.09
Chile,CHL,1980,,6.43,2.31,-7,3.87,0,-7,693.48,2454.29
China,CHN,2006,,5.85,8.22,-7,5.6,8.18,-7,1740.1,2082.18
Syria,SYR,2007,,5.64,7.79,-7,5.5,7.26,-7,1779.82,2079.99
Vietnam,VNM,2013,,5.4,6.24,-7,5.44,5.97,-7,1755.27,1908.64
Syria,SYR,2006,,5.5,7.26,-7,4.84,7.39,-7,1591.53,1779.82
Vietnam,VNM,2012,,5.44,5.97,-7,5.66,5.69,-7,1543.03,1755.27
China,CHN,2005,,5.6,8.18,-7,5.63,8.06,-7,1498.17,1740.1
Syria,SYR,2005,,4.84,7.39,-7,4.85,7.69,-7,1419.59,1591.53
Azerbaijan,AZE,2005,,5.87,7.25,-7,5.59,7.34,-7,1045.03,1578.37
Vietnam,VNM,2011,,5.66,5.69,-7,5.88,5.93,-7,1333.58,1543.03
China,CHN,2004,,5.63,8.06,-7,5.95,8.23,-7,1280.6,1498.17
Syria,SYR,2004,,4.85,7.69,-7,4.85,7.49,-7,1261.43,1419.59
Morocco,MAR,1995,,7.77,6.69,-7,3.99,6.5,-8,1145.92,1356.33
Vietnam,VNM,2010,,5.88,5.93,-7,5.98,5.94,-7,1232.37,1333.58
China,CHN,2003,,5.95,8.23,-7,5.48,8.22,-7,1141.76,1280.6
Syria,SYR,2002,,4.88,7.86,-7,5.44,7.86,-7,1263.89,1269.73
Syria,SYR,2001,,5.44,7.86,-7,5.44,6.46,-7,1181.72,1263.89
Syria,SYR,2003,,4.85,7.49,-7,4.88,7.86,-7,1269.73,1261.43
Vietnam,VNM,2009,,5.98,5.94,-7,6.07,5.25,-7,1164.61,1232.37
Syria,SYR,2000,,5.44,6.46,-7,5.23,6.59,-9,795.2,1181.72
Vietnam,VNM,2008,,6.07,5.25,-7,6.03,6.22,-7,919.21,1164.61
China,CHN,2002,,5.48,8.22,-7,5.14,8.32,-7,1047.48,1141.76
China,CHN,2001,,5.14,8.32,-7,4.95,8.12,-7,954.55,1047.48
Azerbaijan,AZE,2004,,5.59,7.34,-7,5.71,4.29,-7,883.61,1045.03
Indonesia,IDN,1995,,3.55,9.09,-7,4.72,8.76,-7,630.67,1026.27
China,CHN,2000,,4.95,8.12,-7,5.49,5.77,-7,607.57,954.55
Vietnam,VNM,2007,,6.03,6.22,-7,5.91,6.37,-7,796.67,919.21
Azerbaijan,AZE,2003,,5.71,4.29,-7,4.95,4.08,-7,763.1,883.61
Vietnam,VNM,2006,,5.91,6.37,-7,5.86,6.3,-7,699.5,796.67
Azerbaijan,AZE,2002,,4.95,4.08,-7,3.84,3.83,-7,703.67,763.1
Azerbaijan,AZE,2001,,3.84,3.83,-7,4.45,3.66,-7,655.1,703.67
Vietnam,VNM,2005,,5.86,6.3,-7,5.24,6.33,-7,606.9,699.5
Azerbaijan,AZE,2000,,4.45,3.66,-7,3.43,1.25,-6,397.2,655.1
Indonesia,IDN,1990,,4.72,8.76,-7,4.46,9.27,-7,529.29,630.67
China,CHN,1995,,5.49,5.77,-7,5.79,6.73,-7,316.22,607.57
Vietnam,VNM,2004,,5.24,6.33,-7,4.82,6.58,-7,530.86,606.9
Indonesia,IDN,1985,,4.46,9.27,-7,3.41,6.54,-7,528.94,529.29
Indonesia,IDN,1980,,3.41,6.54,-7,3.66,6.57,-7,245.92,528.94
Central Afr. Rep.,CAF,1990,,4.42,7.08,-7,4.25,4.53,-7,329.16,490.4
Togo,TGO,1990,,4.48,6.95,-7,4.22,6.75,-7,234.36,430.01
Ghana,GHA,1990,,5.79,4.58,-7,2.69,2.38,-7,354.22,402.59
Kenya,KEN,1990,,5.3,6.66,-7,5.25,6.84,-7,312.05,365.62
Ghana,GHA,1985,,2.69,2.38,-7,2.76,1.6,6,411.52,354.22
Nigeria,NGA,1985,,2.46,6.32,-7,3.06,5.91,7,871.15,344.14
China,CHN,1990,,5.79,6.73,-7,6.78,6.19,-7,292.55,316.22
Mali,MLI,1990,,3.02,6.98,-7,3.05,6.39,-7,177.76,316.19
Niger,NER,1990,,5.3,7.08,-7,4.78,6.53,-7,210.67,313.54
Kenya,KEN,1985,,5.25,6.84,-7,4.2,6.17,-6,446.6,312.05
Pakistan,PAK,1980,,2.54,6.39,-7,1.58,5.21,8,169.78,303.43
Uganda,UGA,1990,,2.44,0.28,-7,2.93,0,-77,240.56,247.6
Indonesia,IDN,1975,,3.66,6.57,-7,4.38,4.32,-7,84.09,245.92
Benin,BEN,1985,,4.25,6.4,-7,4.67,6.23,-7,377.96,243.91
Kenya,KEN,1975,,3.66,5.73,-7,4.69,5.9,-7,142.5,241.68
Burundi,BDI,1985,,4.25,6.27,-7,4.67,5.56,-7,222.88,240.87
Bangladesh,BGD,1985,,2.46,6.1,-7,2.54,4.64,-4,222.92,239.51
Togo,TGO,1985,,4.22,6.75,-7,3.33,5.53,-7,417.67,234.36
Sierra Leone,SLE,1995,,2.08,3.81,-7,5.3,0.06,-7,165.25,226.89
Niger,NER,1985,,4.78,6.53,-7,4.67,4.9,-7,420.67,210.67
Burundi,BDI,1990,,4.42,6.5,-7,4.25,6.27,-7,240.87,201.69
Mali,MLI,1985,,3.05,6.39,-7,4.23,6.04,-7,248.19,177.76
Sierra Leone,SLE,1990,,5.3,0.06,-7,5.25,0.42,-7,247.22,165.25
Kazakhstan,KAZ,2013,,6.11,8.97,-6,6.21,8.46,-6,12120.31,13611.54
Kazakhstan,KAZ,2012,,6.21,8.46,-6,6.02,8.17,-6,11357.95,12120.31
Kazakhstan,KAZ,2011,,6.02,8.17,-6,5.66,8.24,-6,9070.65,11357.95
Kazakhstan,KAZ,2010,,5.66,8.24,-6,5.74,8.29,-6,7165.28,9070.65
Kazakhstan,KAZ,2008,,5.87,8.48,-6,5.94,8.46,-6,6771.41,8513.56
Kazakhstan,KAZ,2009,,5.74,8.29,-6,5.87,8.48,-6,8513.56,7165.28
Kazakhstan,KAZ,2007,,5.94,8.46,-6,5.82,6.96,-6,5291.58,6771.41
Iran,IRN,2008,,6.12,7.88,-6,6.09,8.09,-6,4705.39,5476.16
Kazakhstan,KAZ,2006,,5.82,6.96,-6,5.71,6.85,-6,3771.28,5291.58
Iran,IRN,2007,,6.09,8.09,-6,4.98,8.24,-6,3646.84,4705.39
Iran,IRN,1985,,2.26,8.1,-6,1.76,6.9,-88,2440.31,3810.12
Kazakhstan,KAZ,2005,,5.71,6.85,-6,5.39,6.01,-6,2874.29,3771.28
Iran,IRN,2006,,4.98,8.24,-6,6.11,8.06,-6,3135.19,3646.84
Iran,IRN,2005,,6.11,8.06,-6,6.09,7.9,-6,2649.91,3135.19
Morocco,MAR,2008,,6.05,6.72,-6,6.1,6.84,-6,2510.98,2905.95
Morocco,MAR,2009,,5.99,7.02,-6,6.05,6.72,-6,2905.95,2883.85
Kazakhstan,KAZ,2004,,5.39,6.01,-6,5.71,4.29,-6,2068.12,2874.29
Morocco,MAR,2010,,5.97,7.07,-6,5.99,7.02,-6,2883.85,2857.67
Iran,IRN,2004,,6.09,7.9,-6,6.09,7.69,3,2240.81,2649.91
Morocco,MAR,2007,,6.1,6.84,-6,5.47,6.95,-6,2107.9,2510.98
Panama,PAN,1985,,3.52,9.68,-6,3.19,6.78,-6,1925.78,2434.13
Iran,IRN,1990,,2.2,8.99,-6,2.26,8.1,-6,3810.12,2222.09
Morocco,MAR,2006,,5.47,6.95,-6,6.17,7.1,-6,1931.76,2107.9
Kazakhstan,KAZ,2003,,5.71,4.29,-6,4.95,4.08,-6,1658.03,2068.12
Morocco,MAR,2005,,6.17,7.1,-6,5.34,7.11,-6,1867.33,1931.76
Morocco,MAR,2004,,5.34,7.11,-6,6.02,7.1,-6,1650.28,1867.33
Kazakhstan,KAZ,2002,,4.95,4.08,-6,3.84,3.83,-4,1490.93,1658.03
Morocco,MAR,2003,,6.02,7.1,-6,5.66,7.02,-6,1352.32,1650.28
Iran,IRN,1995,,6.18,3.87,-6,2.2,8.99,-6,2222.09,1598.5
Egypt,EGY,2000,,5.87,9.53,-6,4.88,7.61,-6,963.56,1461.02
Egypt,EGY,2001,,4.61,9.58,-6,5.87,9.53,-6,1461.02,1402.76
Chile,CHL,1985,,5.02,7.06,-6,6.43,2.31,-7,2454.29,1361.52
Morocco,MAR,2002,,5.66,7.02,-6,5.87,7.09,-6,1275.46,1352.32
Morocco,MAR,2001,,5.87,7.09,-6,7.68,6.96,-6,1265.4,1275.46
Morocco,MAR,2000,,7.68,6.96,-6,7.77,6.69,-7,1356.33,1265.4
Egypt,EGY,2002,,4.68,9.68,-6,4.61,9.58,-6,1402.76,1238.93
Egypt,EGY,2003,,4.41,9.28,-6,4.68,9.68,-6,1238.93,1147.78
Egypt,EGY,2004,,4.21,8.65,-6,4.41,9.28,-6,1147.78,1071.32
"Congo, Rep. Of",COG,2000,,1.73,4.29,-6,2.9,5.69,5,777.58,1035.58
Egypt,EGY,1995,,4.88,7.61,-6,3.5,8.16,-6,764.76,963.56
Zimbabwe,ZWE,1990,,3.99,5.67,-6,3.05,6.31,1,636.07,837.77
Egypt,EGY,1990,,3.5,8.16,-6,5.38,8.85,-6,702.59,764.76
Egypt,EGY,1985,,5.38,8.85,-6,2.76,7.7,-6,528.31,702.59
Bangladesh,BGD,2008,,3.21,6.39,-6,3.1,6.38,-6,543.08,618.08
Zimbabwe,ZWE,1995,,5.53,4.92,-6,3.99,5.67,-6,837.77,608.68
Philippines,PHL,1985,,2.46,4.59,-6,3.06,6.1,-9,684.65,565.76
Bangladesh,BGD,2007,,3.1,6.38,-6,3.15,6.6,6,495.85,543.08
Pakistan,PAK,2000,,4.84,6.15,-6,5.25,7.6,8,494.59,534.92
Pakistan,PAK,2001,,3.09,6.38,-6,4.84,6.15,-6,534.92,511.81
Kenya,KEN,1980,,4.2,6.17,-6,3.66,5.73,-7,241.68,446.6
Azerbaijan,AZE,1995,,3.43,1.25,-6,1,5.95,0,1237.32,397.2
Nepal,NPL,2005,,4.05,6.6,-6,4.24,6.76,-6,288.67,318.75
Nepal,NPL,2004,,4.24,6.76,-6,4.23,6.59,-6,254.55,288.67
Madagascar,MDG,1990,,3.09,5.79,-6,4.32,5.99,-6,286.33,266.89
Nigeria,NGA,1995,,4.7,1.27,-6,2.93,4.14,-5,321.67,263.29
Nepal,NPL,2003,,4.23,6.59,-6,4.47,6.8,-6,246.8,254.55
Nepal,NPL,2002,,4.47,6.8,-6,5.01,6.96,6,248.83,246.8
Tajikistan,TJK,1995,,3.43,1.25,-6,1,5.95,0,496.37,212.91
Bahrain,BHR,2010,,7,8.39,-5,6.76,8.26,-7,19166.71,20386.02
Thailand,THA,2006,,6.26,6.61,-5,6.28,6.76,9,2874.39,3351.12
"Korea, South",KOR,1985,,4.16,6.41,-5,6.52,5.29,-8,1778.48,2542.04
Turkey,TUR,1980,,5.57,0.78,-5,2.78,4.79,9,1139.03,1566.75
Tunisia,TUN,1990,,3.5,6.98,-5,3.52,6.5,-8,1158.37,1507.23
Mauritania,MRT,2008,,4.82,6.92,-5,5.16,6.82,4,1008.55,1180.55
"Congo, Rep. Of",COG,2001,,1.73,4.7,-5,1.73,4.29,-6,1035.58,877.63
Pakistan,PAK,2006,,4.44,6.08,-5,4.04,6.04,-5,714.04,876.95
Pakistan,PAK,2005,,4.04,6.04,-5,3.34,5.7,-5,652.02,714.04
Pakistan,PAK,2004,,3.34,5.7,-5,3.13,6.02,-5,565.32,652.02
Pakistan,PAK,2003,,3.13,6.02,-5,2.81,6.17,-5,501.19,565.32
"Gambia, The",GMB,2011,,5.83,8.11,-5,5.8,7.92,-5,562.57,516.98
"Gambia, The",GMB,2012,,5.53,8.21,-5,5.83,8.11,-5,516.98,504.99
Pakistan,PAK,2002,,2.81,6.17,-5,3.09,6.38,-6,511.81,501.19
"Gambia, The",GMB,2013,,5.36,7.99,-5,5.53,8.21,-5,504.99,484.11
Kenya,KEN,1995,,3.63,6.81,-5,5.3,6.66,-7,365.62,330.48
Nigeria,NGA,1990,,2.93,4.14,-5,2.46,6.32,-7,344.14,321.67
Bangladesh,BGD,1990,,2.44,6.95,-5,2.46,6.1,-7,239.51,298.14
Gabon,GAB,2008,,4.31,6.08,-4,4.31,5.96,-4,8632.76,10523.27
Gabon,GAB,2007,,4.31,5.96,-4,4.95,6.03,-4,7206.97,8632.76
Gabon,GAB,2006,,4.95,6.03,-4,4.35,5.85,-4,6865.32,7206.97
Gabon,GAB,2005,,4.35,5.85,-4,4.34,5.7,-4,5755.96,6865.32
Gabon,GAB,2004,,4.34,5.7,-4,4.33,5.57,-4,4929.32,5755.96
Gabon,GAB,2003,,4.33,5.57,-4,4.37,5.43,-4,4119.15,4929.32
Fiji,FJI,2013,,5.79,5.74,-4,5.87,6.42,-4,4550.27,4765.66
Gabon,GAB,1995,,5.47,5.44,-4,4.96,5.43,-88,6250.64,4564.27
Fiji,FJI,2012,,5.87,6.42,-4,5.88,6.47,-4,4351.92,4550.27
Fiji,FJI,2011,,5.88,6.47,-4,5.77,6.67,-4,3651.96,4351.92
Tunisia,TUN,2008,,6.94,6.77,-4,7.1,6.99,-4,3805.15,4342.82
Fiji,FJI,2008,,5.99,6.42,-4,6.17,6.23,-4,4079.23,4178.32
Tunisia,TUN,2010,,6.45,6.85,-4,7.1,6.81,-4,4162.51,4176.61
Tunisia,TUN,2009,,7.1,6.81,-4,6.94,6.77,-4,4342.82,4162.51
Gabon,GAB,2002,,4.37,5.43,-4,4.37,5.75,-4,3981.86,4119.15
Gabon,GAB,2000,,4.37,5.81,-4,5.47,5.44,-4,4564.27,4115.04
Fiji,FJI,2007,,6.17,6.23,-4,6.22,6.56,-3,3750.03,4079.23
Gabon,GAB,2001,,4.37,5.75,-4,4.37,5.81,-4,4115.04,3981.86
Tunisia,TUN,2007,,7.1,6.99,-4,7.11,6.98,-4,3394.43,3805.15
Fiji,FJI,2010,,5.77,6.67,-4,5.77,6.76,-4,3369.86,3651.96
"Congo, Rep. Of",COG,2011,,2.6,4.59,-4,2.78,4.69,-4,2953.19,3453.22
Tunisia,TUN,2006,,7.11,6.98,-4,6.98,7.3,-4,3217.97,3394.43
Fiji,FJI,2009,,5.77,6.76,-4,5.99,6.42,-4,4178.32,3369.86
Tunisia,TUN,2005,,6.98,7.3,-4,6.49,7.26,-4,3139.54,3217.97
