Country,Code,Year,Size of Govt,Law & Prop.Rights,Sound Money,Export trade freedom,Regulations,polity,anarchy,transition,occupation,democ,autoc,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prev Govt size,prev Law,prev Money,prev Export trade,prev Regulations,prev polity,prev democ,prev autoc,prev GDP,Population total,Use of IMF credit (current USD) per capita,foreign net aid in USD per capita,Industry value added (percent of GDP),Research and development expenditure (percent of GDP),Start-up procedures to register a business (number),Inflation in consumer prices (annual percent),Lead time to import median case in days,Logistics performance index,Lead time to export median case in days,Income share held by highest ten percent,Cereal yield kg per hectare,Total debt service as percent of exports of goods services and primary income,Military expenditure percent of central government expenditure,Lending interest rate percent,Employment to population ratio total percent,Agriculture percent of GDP,Tax revenue percent of GDP,High-technology exports percent of manufactured exports,Urban population (% of total),Energy use kg of oil equivalent per capita,Life expectancy at birth total in years,GDP per person employed constant 1990 PPP,Birth rate per 1000 people,Population growth annual percent,Time required to start a business in days,Employment in agriculture (percent of total employment),GDP growth percent,GDP per capita in USD,Net secondary education enrollment,Gross tertiary education enrollment percent,EU member,Informal payments to public officials (percent of firms),CPIA Public sector management quality,Fuel exports (% of merchandise exports),, Random seed
Albania,ALB,2000,7.630000,4.770000,7.400000,5.720000,5.750000,5.000000,0.000000,0.000000,0.000000,6.000000,1.000000,2.000000,2.000000,4.000000,5.000000,3.000000,4.000000,7.000000,5.000000,8.000000,6.540000,4.850000,3.260000,5.900000,4.570000,5.000000,6.000000,1.000000,760.559376,3089027.000000,48.049434,102.896478,16.705372,,,0.050018,,,,,3175.084000,3.663412,,22.102500,53.799999,26.490462,,0.697375,41.741000,570.845447,74.272073,10177.000000,18.938000,-0.637357,,71.800003,9.008853,1175.788981,62.562931,13.762320,0.000000,,,1.851369,,0.062662
Albania,ALB,2001,7.640000,4.770000,7.060000,6.070000,6.130000,5.000000,0.000000,0.000000,0.000000,6.000000,1.000000,2.000000,2.000000,4.000000,5.000000,3.000000,4.000000,7.000000,5.000000,8.000000,7.630000,4.770000,7.400000,5.720000,5.750000,5.000000,6.000000,1.000000,1175.788981,3060173.000000,46.284311,87.749941,18.314876,,,3.107588,,,,,3030.760000,3.954160,,19.654167,47.799999,24.453055,,0.724101,42.435000,582.591572,74.734220,10986.000000,18.046000,-0.938470,,72.199997,13.501173,1326.970339,65.121429,14.013830,0.000000,,,1.448360,,0.165765
Albania,ALB,2002,8.330000,5.290000,7.020000,6.190000,7.100000,7.000000,0.000000,0.000000,0.000000,7.000000,0.000000,2.000000,2.000000,4.000000,6.000000,2.000000,4.000000,7.000000,6.000000,9.000000,7.640000,4.770000,7.060000,6.070000,6.130000,5.000000,6.000000,1.000000,1326.970339,3051010.000000,47.268937,100.760076,19.596072,,,7.770526,,,,26.040000,3291.878000,5.717577,6.565228,15.304167,53.299999,24.235933,16.160843,0.699557,43.501000,645.080154,75.157951,11456.000000,17.118000,-0.299877,,57.700001,6.666621,1453.642777,,14.738680,0.000000,,,2.009643,,0.012130
Albania,ALB,2003,8.580000,5.800000,9.810000,6.210000,6.570000,7.000000,0.000000,0.000000,0.000000,7.000000,0.000000,2.000000,2.000000,4.000000,6.000000,2.000000,4.000000,7.000000,6.000000,9.000000,8.330000,5.290000,7.020000,6.190000,7.100000,7.000000,7.000000,0.000000,1453.642777,3039616.000000,52.445769,116.626574,23.183298,,12.000000,0.484003,,,,,3185.731000,4.206991,7.416968,14.270833,52.799999,24.332699,16.790842,0.959975,44.573000,648.168387,75.529366,12034.000000,16.188000,-0.374149,41.000000,58.099998,7.940331,1890.681557,,15.812630,0.000000,,,0.939454,,0.869437
Albania,ALB,2004,7.840000,4.580000,9.660000,6.540000,6.320000,7.000000,0.000000,0.000000,0.000000,7.000000,0.000000,2.000000,2.000000,4.000000,6.000000,2.000000,4.000000,7.000000,6.000000,9.000000,8.580000,5.800000,9.810000,6.210000,6.570000,7.000000,7.000000,0.000000,1890.681557,3026939.000000,55.865348,99.093507,24.581583,,12.000000,2.280019,,,,,3466.296000,4.199174,7.740356,11.761522,52.000000,22.932521,17.645359,0.991777,45.651000,715.414483,75.839000,12648.000000,15.290000,-0.417931,40.000000,58.500000,4.231371,2416.588235,,20.004980,0.000000,,,2.627712,,0.631004
Albania,ALB,2005,8.040000,4.800000,9.640000,6.330000,6.100000,9.000000,0.000000,0.000000,0.000000,9.000000,0.000000,3.000000,3.000000,4.000000,7.000000,2.000000,4.000000,8.000000,7.000000,9.000000,7.840000,4.580000,9.660000,6.540000,6.320000,7.000000,7.000000,0.000000,2416.588235,3011487.000000,52.546466,105.974225,25.216511,,12.000000,2.366582,,,,24.340000,3462.125000,4.823154,,13.075000,51.200001,21.234328,,4.222700,46.731000,719.584378,76.089390,13364.000000,14.474000,-0.511790,41.000000,58.500000,5.773491,2709.142931,,24.523251,0.000000,69.900000,3.300000,8.662730,,0.284493
Albania,ALB,2006,8.050000,4.910000,9.570000,6.740000,6.550000,9.000000,0.000000,0.000000,0.000000,9.000000,0.000000,3.000000,3.000000,4.000000,7.000000,2.000000,4.000000,8.000000,7.000000,9.000000,8.040000,4.800000,9.640000,6.330000,6.100000,9.000000,9.000000,0.000000,2709.142931,2992547.000000,54.287869,107.527133,26.405233,,12.000000,2.370728,,,,,3602.612000,9.164787,,12.939943,50.500000,20.222344,,6.167415,47.815000,689.300452,76.290537,14045.000000,13.788000,-0.630911,39.000000,58.000000,5.709557,3005.012903,,28.786270,0.000000,,3.300000,13.687093,,0.467080
Albania,ALB,2007,8.790000,5.070000,9.420000,6.780000,6.440000,9.000000,0.000000,0.000000,0.000000,9.000000,0.000000,3.000000,3.000000,4.000000,7.000000,2.000000,4.000000,8.000000,7.000000,9.000000,8.050000,4.910000,9.570000,6.740000,6.550000,9.000000,9.000000,0.000000,3005.012903,2970017.000000,55.043119,103.430384,25.334355,0.087370,11.000000,2.932682,,2.080000,,,3728.378000,5.292283,,14.099623,49.099998,19.874798,,1.314305,48.902000,679.861765,76.464854,14812.000000,13.255000,-0.755719,37.000000,47.900002,5.720820,3603.013685,,31.793381,0.000000,57.700000,,7.453003,,0.209108
Albania,ALB,2008,8.240000,5.410000,9.400000,6.850000,6.580000,9.000000,0.000000,0.000000,0.000000,9.000000,0.000000,3.000000,3.000000,4.000000,7.000000,2.000000,4.000000,8.000000,7.000000,9.000000,8.790000,5.070000,9.420000,6.780000,6.440000,9.000000,9.000000,0.000000,3603.013685,2947314.000000,51.581542,123.254597,29.021676,0.154120,8.000000,3.359242,,,,24.460000,4081.154000,4.452306,,13.019643,48.599998,19.420535,,3.469616,49.991000,697.004120,76.632317,15543.000000,12.885000,-0.767343,10.000000,,5.431013,4370.539647,,32.321308,0.000000,,,21.814272,,0.478865
Albania,ALB,2009,7.730000,5.650000,9.630000,7.240000,6.350000,9.000000,0.000000,0.000000,0.000000,9.000000,0.000000,3.000000,3.000000,4.000000,7.000000,2.000000,4.000000,8.000000,7.000000,9.000000,8.240000,5.410000,9.400000,6.850000,6.580000,9.000000,9.000000,0.000000,4370.539647,2927519.000000,49.293958,121.932599,28.215595,,7.000000,2.280502,,,,,4315.321000,5.707591,,12.660935,47.599998,19.409781,,0.764653,51.076000,722.583867,76.801878,17080.000000,12.674000,-0.673894,7.000000,44.099998,5.900000,4114.136545,,33.106201,0.000000,,,11.602414,,0.277734
Albania,ALB,2010,7.740000,5.360000,9.730000,7.250000,6.380000,9.000000,0.000000,0.000000,0.000000,9.000000,0.000000,3.000000,3.000000,4.000000,7.000000,2.000000,4.000000,8.000000,7.000000,9.000000,7.730000,5.650000,9.630000,7.240000,6.350000,9.000000,9.000000,0.000000,4114.136545,2913021.000000,44.411283,116.957619,28.690547,,7.000000,3.552267,2.000000,2.460000,1.730000,,4761.839000,5.246348,,12.822330,47.299999,20.658189,,0.893509,52.163000,724.562919,76.978512,17730.000000,12.607000,-0.496462,7.000000,,7.530000,4094.358832,,43.561531,0.000000,,,17.973227,,0.879750
Albania,ALB,2011,7.720000,4.970000,9.780000,7.120000,6.300000,9.000000,0.000000,0.000000,0.000000,9.000000,0.000000,3.000000,3.000000,4.000000,7.000000,2.000000,4.000000,8.000000,7.000000,9.000000,7.740000,5.360000,9.730000,7.250000,6.380000,9.000000,9.000000,0.000000,4094.358832,2904780.000000,40.361404,120.749248,28.153502,,7.000000,3.450347,,,,,4750.710000,5.935181,,12.432099,47.400002,20.958124,,0.530149,53.247000,770.340267,77.163220,17768.000000,12.651000,-0.283303,6.500000,,3.350000,4437.811999,,47.742722,0.000000,,,21.191947,,0.964680
Albania,ALB,2012,8.060000,4.560000,9.710000,7.030000,6.230000,9.000000,0.000000,0.000000,0.000000,9.000000,0.000000,3.000000,3.000000,4.000000,7.000000,2.000000,4.000000,8.000000,7.000000,9.000000,7.720000,4.970000,9.780000,7.120000,6.300000,9.000000,9.000000,0.000000,4437.811999,2900489.000000,36.902743,117.780140,26.452598,,6.000000,2.031596,,2.770000,11.000000,22.930000,4883.754000,6.733262,,10.880347,47.400002,21.660680,,0.443274,54.330000,715.256290,77.350463,17417.000000,12.756000,-0.147831,5.500000,,3.710000,4247.485437,,55.500961,0.000000,,,26.590781,,0.372850
Albania,ALB,2013,7.820000,4.670000,9.720000,7.450000,6.240000,9.000000,0.000000,0.000000,0.000000,9.000000,0.000000,3.000000,3.000000,4.000000,7.000000,2.000000,4.000000,8.000000,7.000000,9.000000,8.060000,4.560000,9.710000,7.030000,6.230000,9.000000,9.000000,0.000000,4247.485437,2897366.000000,33.394124,102.983192,26.368331,,6.000000,1.937618,,,,,4605.997000,7.276858,,9.826604,46.299999,22.503090,,0.513331,55.383000,,77.537244,18474.000000,12.877000,-0.107730,5.500000,,2.550000,4411.258241,,58.529888,0.000000,18.300000,,31.003052,,0.490625
Unit. Arab Em.,ARE,1980,5.190000,2.060000,7.930000,10.000000,5.280000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1016789.000000,0.000000,4.012632,,,,,,,,,2409.574000,,,,,,,,80.710000,7112.667427,67.983195,52437.000000,29.356000,9.212453,,,-1.589603,42878.854380,37.751340,1.601310,0.000000,,,,,0.930319
Unit. Arab Em.,ARE,1985,5.000000,5.850000,9.120000,8.200000,6.220000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,5.190000,2.060000,7.930000,10.000000,5.280000,-8.000000,0.000000,8.000000,42878.854380,1350433.000000,0.000000,2.999038,,,,,,,,,1340.206000,,,,,,,,79.804000,10157.779023,70.076634,38462.000000,29.745000,5.334804,,,-4.745821,30067.134160,,7.029270,0.000000,,,,,0.863356
Unit. Arab Em.,ARE,1990,7.430000,5.790000,9.440000,8.330000,6.330000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,5.000000,5.850000,9.120000,8.200000,6.220000,-8.000000,0.000000,8.000000,30067.134160,1811458.000000,0.000000,1.954227,,,,,,,,,2216.487000,,,,,,,,79.051000,11274.932679,71.720146,28659.000000,25.768000,5.640143,,,-2.618908,27989.301270,,6.555340,0.000000,,,,,0.428303
Unit. Arab Em.,ARE,2000,6.110000,7.520000,7.750000,8.720000,6.450000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,7.430000,5.790000,9.440000,8.330000,6.330000,-8.000000,0.000000,8.000000,27989.301270,3050128.000000,0.000000,1.049136,,,,,,,,,6500.000000,,,,74.500000,,,0.708440,80.236000,11128.821479,74.451537,24204.000000,16.399000,5.594015,,7.900000,0.291994,34207.538950,,,0.000000,,,93.847808,,0.483587
Unit. Arab Em.,ARE,2001,5.960000,7.520000,7.950000,8.580000,6.490000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,6.110000,7.520000,7.750000,8.720000,6.450000,-8.000000,0.000000,8.000000,34207.538950,3217865.000000,0.000000,0.736513,49.829608,,,,,,,,3533.333000,,,,73.800003,2.245106,,1.965072,80.655000,11613.067671,74.712878,23370.000000,15.829000,5.353454,,,2.902214,32105.647870,,,0.000000,,,91.785175,,0.642996
Unit. Arab Em.,ARE,2002,6.980000,6.840000,8.090000,8.580000,7.200000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,5.960000,7.520000,7.950000,8.580000,6.490000,-8.000000,0.000000,8.000000,32105.647870,3394060.000000,0.000000,1.128442,47.833961,,,,,,,,3411.765000,,,,73.900002,2.216679,,,81.067000,11958.477458,74.968268,22612.000000,15.287000,5.330875,,,10.852704,32355.409600,,,0.000000,,,,,0.836401
Unit. Arab Em.,ARE,2003,6.970000,6.900000,8.110000,8.540000,7.450000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,6.980000,6.840000,8.090000,8.580000,7.200000,-8.000000,0.000000,8.000000,32355.409600,3625798.000000,0.000000,1.367975,49.489042,,10.000000,,,,,,2500.000000,,,,74.300003,1.942127,,,81.472000,11094.969714,75.217220,23044.000000,14.759000,6.604756,19.000000,,1.399085,34294.894000,,,0.000000,,,,,0.391334
Unit. Arab Em.,ARE,2004,7.050000,6.440000,7.800000,8.460000,7.680000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,6.970000,6.900000,8.110000,8.540000,7.450000,-8.000000,0.000000,8.000000,34294.894000,3975945.000000,0.000000,1.348107,52.055664,,10.000000,,,,,,2000.000000,,,,74.000000,1.677521,,,81.871000,10652.943137,75.457268,23730.000000,14.240000,9.218805,19.000000,,2.433457,37179.681890,,,0.000000,,,,,0.156803
Unit. Arab Em.,ARE,2005,8.090000,7.270000,7.600000,8.100000,7.460000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,7.050000,6.440000,7.800000,8.460000,7.680000,-8.000000,0.000000,8.000000,37179.681890,4481976.000000,0.000000,0.000000,56.072198,,10.000000,,,,,,2000.000000,,,,74.199997,1.406161,,1.871489,82.262000,9696.483203,75.686390,23189.000000,13.735000,11.980156,19.000000,4.900000,8.800541,40298.524220,,,0.000000,,,57.791117,,0.386179
Unit. Arab Em.,ARE,2006,8.150000,7.360000,8.130000,8.150000,7.550000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,8.090000,7.270000,7.600000,8.100000,7.460000,-8.000000,0.000000,8.000000,40298.524220,5171255.000000,0.000000,0.000000,58.351844,,10.000000,,,,,,2600.000000,,,,74.199997,1.102724,,,82.648000,8926.974206,75.904537,23775.000000,13.255000,14.305139,19.000000,,9.566437,42950.100580,,,0.000000,,,,,0.518034
Unit. Arab Em.,ARE,2007,8.730000,7.470000,7.920000,8.110000,7.560000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,8.150000,7.360000,8.130000,8.150000,7.550000,-8.000000,0.000000,8.000000,42950.100580,6010100.000000,0.000000,0.000000,55.281384,,9.000000,,4.100000,3.730000,3.500000,,55019.002000,,,,74.300003,0.984528,,1.070384,83.019000,8374.443686,76.111171,23034.000000,12.814000,15.032598,18.000000,,4.855141,42913.784030,,,0.000000,,,65.345244,,0.602278
Unit. Arab Em.,ARE,2008,8.250000,7.590000,8.250000,8.180000,7.700000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,8.730000,7.470000,7.920000,8.110000,7.560000,-8.000000,0.000000,8.000000,42913.784030,6900142.000000,0.000000,0.000000,,,9.000000,12.250420,,,,,54613.950000,,,,74.000000,,,3.202785,83.377000,8431.669232,76.307756,22591.000000,12.423000,13.810060,18.000000,4.200000,9.837320,45720.017900,,,0.000000,,,64.814988,,0.484750
Unit. Arab Em.,ARE,2009,7.430000,7.350000,8.130000,8.190000,7.510000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,8.250000,7.590000,8.250000,8.180000,7.700000,-8.000000,0.000000,8.000000,45720.017900,7705423.000000,0.000000,0.000000,,,8.000000,1.559801,,,,,66589.604000,,,,74.300003,,,,83.723000,7780.355472,76.494780,20353.000000,12.079000,11.038238,15.000000,3.800000,3.184390,32905.053850,,,0.000000,,,,,0.190371
Unit. Arab Em.,ARE,2010,7.940000,7.270000,8.320000,8.100000,7.930000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,7.430000,7.350000,8.130000,8.190000,7.510000,-8.000000,0.000000,8.000000,32905.053850,8329453.000000,0.000000,0.000000,,,8.000000,0.878937,2.030000,3.630000,2.460000,,74205.554000,,,,74.900002,,,,84.055000,7414.658562,76.675244,19720.000000,11.778000,7.787342,15.000000,,3.191836,34341.911290,,,0.000000,,,,,0.562201
Unit. Arab Em.,ARE,2011,7.810000,7.510000,8.620000,8.120000,8.250000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,7.940000,7.270000,8.320000,8.100000,7.930000,-8.000000,0.000000,8.000000,34341.911290,8734722.000000,0.000000,0.000000,,0.490710,7.000000,0.876837,,,,,73325.041000,,,,75.400002,,0.323387,,84.375000,7324.992599,76.851195,19878.000000,11.514000,4.750833,13.000000,,-5.242922,39901.220920,,,0.000000,,,,,0.912208
Unit. Arab Em.,ARE,2012,7.790000,7.650000,8.640000,8.200000,8.230000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,7.810000,7.510000,8.620000,8.120000,8.250000,-8.000000,0.000000,8.000000,39901.220920,8952542.000000,0.000000,0.000000,,,6.000000,0.664067,2.000000,3.780000,1.000000,,73106.987000,,119.542141,,76.099998,,0.364917,,84.684000,7536.240768,77.024146,20075.000000,11.273000,2.463140,8.000000,,1.635449,41712.124210,,,0.000000,,,,,0.485799
Unit. Arab Em.,ARE,2013,7.800000,7.750000,8.640000,8.260000,8.310000,-8.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,1.000000,2.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,7.790000,7.650000,8.640000,8.200000,8.230000,-8.000000,0.000000,8.000000,41712.124210,9039978.000000,0.000000,0.000000,,,6.000000,1.100691,,,,,72442.998000,,150.574491,,76.900002,,0.373240,,84.981000,,77.195634,20434.000000,11.044000,0.971923,8.000000,,5.207799,42831.089130,,,0.000000,,,,,0.821357
Argentina,ARG,1975,5.630000,1.580000,2.500000,0.900000,5.140000,6.000000,0.000000,0.000000,0.000000,6.000000,0.000000,3.000000,3.000000,4.000000,5.000000,2.000000,3.000000,8.000000,5.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26066975.000000,0.000000,1.009323,50.141324,,,,,,,,1955.917000,,,,,6.583910,,,80.969000,1379.071373,68.047951,,24.770000,1.633987,,,2.811754,2011.689040,41.701720,26.583570,0.000000,,,0.494938,,0.550583
Argentina,ARG,1980,6.100000,4.200000,2.500000,4.620000,4.090000,-9.000000,0.000000,0.000000,0.000000,0.000000,9.000000,2.000000,1.000000,4.000000,1.000000,4.000000,1.000000,3.000000,1.000000,1.000000,5.630000,1.580000,2.500000,0.900000,5.140000,6.000000,6.000000,0.000000,2011.689040,28105889.000000,0.000000,0.693093,41.219666,,,,,,,,1874.067000,,,,,6.353505,,,82.887000,1487.936176,69.514488,23921.000000,24.630000,1.510535,,,-4.506125,2738.284626,,21.837350,0.000000,,,3.464287,,0.647074
